agent,seed,episodes,steps,risk_scale,reward_total,reward_env_total,filename
control,42,200,,1.2,-72.54434999999998,-72.54434999999982,results\v11\F3\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_f2rt0p1_seed42_m0p0_v11_episodes.csv
control,7,200,,1.2,-71.36495000000001,-71.36495000000002,results\v11\F3\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_f2rt0p1_seed7_m0p0_v11_episodes.csv
control,99,200,,1.2,-71.6038,-71.60379999999998,results\v11\F3\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_f2rt0p1_seed99_m0p0_v11_episodes.csv
dqn_control,101,200,,1.2,-71.57,-71.56999999999992,results\v11\F3\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f2rt0p1_seed101_m0p0_v11_episodes.csv
dqn_control,13,200,,1.2,-70.0187,-70.01869999999987,results\v11\F3\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f2rt0p1_seed13_m0p0_v11_episodes.csv
dqn_control,42,200,,1.2,-71.01065,-71.0106499999999,results\v11\F3\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f2rt0p1_seed42_m0p0_v11_episodes.csv
dqn_control,7,200,,1.2,-71.98859999999999,-71.98859999999995,results\v11\F3\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f2rt0p1_seed7_m0p0_v11_episodes.csv
dqn_control,99,200,,1.2,-71.33465,-71.33464999999994,results\v11\F3\F2_redteam\grid8\riskhigh\dqn_control\grid8_riskhigh_r1p2_f2rt0p1_seed99_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-71.3532,-71.3532,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed101_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-53.56732935248439,-71.3532,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed101_m0p2_v11_episodes.csv
simbiosis,13,200,,1.2,-70.0875,-70.08750000000005,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed13_m0p0_v11_episodes.csv
simbiosis,13,200,,1.2,-42.11336124315292,-70.08750000000005,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed13_m0p2_v11_episodes.csv
simbiosis,42,200,,1.2,-70.96584999999999,-70.9658499999999,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed42_m0p0_v11_episodes.csv
simbiosis,42,200,,1.2,-47.43657036983339,-70.9658499999999,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed42_m0p2_v11_episodes.csv
simbiosis,7,200,,1.2,-71.87095000000001,-71.87095000000006,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed7_m0p0_v11_episodes.csv
simbiosis,7,200,,1.2,-55.00947521033215,-71.87095000000006,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed7_m0p2_v11_episodes.csv
simbiosis,99,200,,1.2,-71.11655,-71.11655000000002,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed99_m0p0_v11_episodes.csv
simbiosis,99,200,,1.2,-49.986690638513245,-71.11655000000002,results\v11\F3\F2_redteam\grid8\riskhigh\simbiosis\grid8_riskhigh_r1p2_f2rt0p1_seed99_m0p2_v11_episodes.csv
