total_reward_env,total_reward_shaped,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,resources_collected,tripwires_triggered,episode,shaping_scale,stage,episodes_in_stage,success_rate_last_25,epsilon,seed,transition_triggered
19.1,19.1,30,0,0,0,0,0,287,0.5,2,87,0.0,0.01,42,0
18.9,18.9,30,0,0,0,0,0,288,0.5,2,88,0.0,0.01,42,0
21.7,21.7,30,0,0,0,0,0,289,0.5,2,89,0.0,0.01,42,0
19.5,19.5,30,0,0,0,0,0,290,0.5,2,90,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,291,0.5,2,91,0.0,0.01,42,0
18.5,18.5,30,0,0,0,0,0,292,0.5,2,92,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,293,0.5,2,93,0.0,0.01,42,0
21.1,21.1,30,0,0,0,0,0,294,0.5,2,94,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,295,0.5,2,95,0.0,0.01,42,0
20.5,20.5,30,0,0,0,0,0,296,0.5,2,96,0.0,0.01,42,0
19.5,19.5,30,0,0,0,0,0,297,0.5,2,97,0.0,0.01,42,0
21.3,21.3,30,0,0,0,0,0,298,0.5,2,98,0.0,0.01,42,0
20.1,20.1,30,0,0,0,0,0,299,0.5,2,99,0.0,0.01,42,1
18.7,18.7,30,0,0,0,0,0,300,0.75,3,0,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,301,0.75,3,1,0.0,0.01,42,0
19.259999999999998,-130.73999999999998,30,0,0,0,0,2,302,0.75,3,2,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,303,0.75,3,3,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,304,0.75,3,4,0.0,0.01,42,0
18.7,18.7,30,0,0,0,0,0,305,0.75,3,5,0.0,0.01,42,0
