episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
241,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
242,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
243,119.59,6,4,187.99,True,False,0.01,PGF,favorable,10.0,0.4,42
244,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
245,122.60000000000001,6,5,189.0,True,False,0.01,PGF,favorable,10.0,0.4,42
246,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
247,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
248,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
249,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
250,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
251,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
252,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
253,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
254,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
255,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
256,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
257,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
258,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
259,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
260,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
261,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
262,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
263,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
264,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
265,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
266,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
267,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
268,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
269,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
270,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
271,113.60000000000001,8,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
272,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
273,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
274,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
275,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
276,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
277,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
278,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
279,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
280,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
281,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
282,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
283,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
284,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
285,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
286,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
287,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
288,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
289,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
290,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
291,110.59,6,1,184.99,True,False,0.01,PGF,favorable,10.0,0.4,42
292,110.59,6,1,184.99,True,False,0.01,PGF,favorable,10.0,0.4,42
293,110.59,6,1,184.99,True,False,0.01,PGF,favorable,10.0,0.4,42
294,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
295,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
296,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
297,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
298,113.59,6,2,185.99,True,False,0.01,PGF,favorable,10.0,0.4,42
299,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
300,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
1,26.4,30,2,102.0,False,False,0.1720768383829392,Control,favorable,10.0,0.4,42
2,23.599999999999998,30,0,100.0,False,False,0.14805219153934096,Control,favorable,10.0,0.4,42
3,25.2,30,1,101.0,False,False,0.12738176517877567,Control,favorable,10.0,0.4,42
4,25.799999999999997,30,2,102.0,False,False,0.10959725709800847,Control,favorable,10.0,0.4,42
5,23.999999999999996,30,0,100.0,False,False,0.09429574748433718,Control,favorable,10.0,0.4,42
6,24.599999999999998,30,1,101.0,False,False,0.08113057050030371,Control,favorable,10.0,0.4,42
7,25.999999999999996,30,2,102.0,False,False,0.06980346033948207,Control,favorable,10.0,0.4,42
