episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
262,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
263,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
264,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
265,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
266,PGF,118.99,118.99,1,4,6,True,0,0,0.01,0.0,0.4,42,4
267,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
268,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
269,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
270,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
271,PGF,115.78,115.78,2,1,8,True,0,0,0.01,0.0,0.4,42,4
272,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
273,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
274,PGF,115.78,115.78,2,1,8,True,0,0,0.01,0.0,0.4,42,4
275,PGF,114.39,114.39,1,2,19,True,0,0,0.01,0.0,0.4,42,4
276,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
277,PGF,116.79,116.79,1,2,8,True,0,0,0.01,0.0,0.4,42,4
278,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
279,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
280,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
281,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
282,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
283,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
284,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
285,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
286,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
287,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
288,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
289,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
290,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
291,PGF,114.97,114.97,3,0,6,True,0,0,0.01,0.0,0.4,42,4
292,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
293,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
294,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
295,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
296,PGF,114.98,114.98,2,0,6,True,0,0,0.01,0.0,0.4,42,4
297,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
298,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
299,PGF,116.98,116.98,2,2,6,True,0,0,0.01,0.0,0.4,42,4
300,PGF,115.98,115.98,2,1,6,True,0,0,0.01,0.0,0.4,42,4
1,Control,21.35,21.35,5,0,30,False,0,0,0.1720768383829392,0.0,0.4,42,4
2,Control,21.59,21.59,1,1,30,False,0,0,0.14805219153934096,0.0,0.4,42,4
3,Control,23.18,23.18,2,2,30,False,0,0,0.12738176517877567,0.0,0.4,42,4
4,Control,112.41,112.41,19,1,23,True,0,0,0.11351104449207507,0.0,0.4,42,4
5,Control,22.169999999999998,22.169999999999998,2,1,30,False,0,0,0.09766310828870711,0.0,0.4,42,4
6,Control,20.589999999999996,20.589999999999996,1,0,30,False,0,0,0.08402779450485676,0.0,0.4,42,4
7,Control,21.99,21.99,1,1,30,False,0,0,0.07229618607343528,0.0,0.4,42,4
8,Control,21.59,21.59,1,1,30,False,0,0,0.062202495633307105,0.0,0.4,42,4
9,Control,22.98,22.98,1,2,30,False,0,0,0.053518043940540334,0.0,0.4,42,4
10,Control,20.97,20.97,2,0,30,False,0,0,0.04604607898863699,0.0,0.4,42,4
11,Control,22.169999999999998,22.169999999999998,3,1,30,False,0,0,0.039617318461478715,0.0,0.4,42,4
12,Control,114.98,114.98,2,0,6,True,0,0,0.038443556729431415,0.0,0.4,42,4
